Feature,Importance
height_reduction_pct,0.17451136432145659
aspect_ratio_increase_pct,0.14892857142857144
upper_body_vertical_displacement,0.13067869415807565
center_vertical_displacement,0.07994788237875797
right_hip_range,0.055833333333333346
left_knee_range,0.04000000000000001
left_hip_min,0.037584541062801936
right_hip_max_velocity,0.0357979140290589
left_knee_mean,0.025732323232323263
right_knee_max_velocity,0.024946370925752342
left_knee_min,0.02112715298885512
max_center_accel_y,0.020000000000000004
left_elbow_range,0.020000000000000004
right_elbow_range,0.01959112906563896
fps,0.01884751773049646
right_knee_range,0.016491228070175442
right_knee_mean,0.015833333333333338
max_height_collapse_velocity,0.01411094224924012
max_upper_body_accel_y,0.01333144689681192
left_hip_range,0.013197278911564629
left_hip_mean,0.013085416998460478
left_knee_max_velocity,0.011756194610236931
duration,0.011752577319587636
left_hip_max_velocity,0.009356725146198836
right_elbow_mean,0.006254295532646056
right_knee_min,0.005319148936170213
left_elbow_max_velocity,0.004227053140096619
max_upper_body_velocity_y,0.0041666666666666675
max_center_velocity_y,0.0041666666666666675
left_hip_max,0.002415458937198068
right_elbow_max_velocity,0.001008771929824557
left_elbow_max,0.0
bbox_width,0.0
left_arm_ratio,0.0
shoulders_ratio,0.0
hips_ratio,0.0
shoulder_hip_ratio,0.0
width_height_ratio,0.0
bbox_x,0.0
bbox_y,0.0
bbox_aspect_ratio,0.0
bbox_height,0.0
bbox_area,0.0
neck,0.0
right_hip,0.0
left_hip,0.0
right_knee,0.0
left_knee,0.0
right_leg_ratio,0.0
right_arm_ratio,0.0
right_elbow,0.0
left_shoulder,0.0
max_deceleration,0.0
right_hip_max,0.0
left_elbow_mean,0.0
right_hip_min,0.0
right_hip_mean,0.0
left_knee_max,0.0
right_elbow_max,0.0
impact_count,0.0
impact_frame,0.0
right_shoulder,0.0
right_elbow_min,0.0
right_knee_max,0.0
max_aspect_ratio_change_velocity,0.0
width,0.0
height,0.0
left_elbow_min,0.0
left_elbow,0.0
left_leg_ratio,0.0
