Feature,Importance
fps,0.57679613815351
max_deceleration,0.13575802780519208
duration,0.09191961627239523
right_elbow_mean,0.04120754429145382
right_hip_max,0.026620604591163267
left_hip_max,0.02290155560063043
max_center_accel_y,0.022052120682751072
right_hip_range,0.014673246949190715
left_elbow_max,0.012360222394849648
max_upper_body_accel_y,0.00809213345596877
max_height_collapse_velocity,0.007732663124564846
upper_body_vertical_displacement,0.007478888482215623
left_knee_max,0.006871385643380349
max_upper_body_velocity_y,0.005822461595248529
left_elbow_min,0.003749255488575337
left_elbow_mean,0.0032600970264647098
max_center_velocity_y,0.0030504782772850757
height_reduction_pct,0.002467397337342192
right_knee_max_velocity,0.0022805709417155155
right_elbow_min,0.0022643353189054135
right_knee_range,0.0010783343508860357
left_knee_range,0.0007775182163337156
right_elbow_max_velocity,0.0005536357246978793
aspect_ratio_increase_pct,0.00013017089871326492
left_hip_mean,3.0341664156678648e-05
right_elbow_max,2.8399136352919167e-05
impact_frame,2.275896213007645e-05
center_vertical_displacement,8.387576284595291e-06
left_knee_mean,6.226483451506301e-06
right_knee_mean,2.512172138031052e-06
right_hip_max_velocity,1.3911699681887188e-06
left_elbow_range,8.918911314563658e-07
max_aspect_ratio_change_velocity,4.1128695421660373e-07
right_knee_max,2.3008346015522232e-07
right_elbow_range,4.695053865264625e-08
left_hip_max_velocity,0.0
left_hip_range,0.0
left_hip_min,0.0
right_hip_mean,0.0
left_knee_max_velocity,0.0
has_impact,0.0
impact_count,0.0
left_knee_min,0.0
right_knee_min,0.0
left_elbow_max_velocity,0.0
right_hip_min,0.0
